종목코드,종목명,종가,대비,등락률,상장시가총액
"001060","JW중외제약","22350","200","0.90","481417.0"
"001200","유진투자증권","3715","60","1.64","359859.0"
"001360","삼성제약","5040","100","2.02","338497.0"
"001390","KG케미칼","31500","650","2.11","436782.0"
"001500","현대차증권","12600","200","1.61","399578.0"
"001510","SK증권","998","21","2.15","471645.0"
"001520","동양","1475","35","2.43","352059.0"
"001630","종근당홀딩스","73600","300","0.41","368726.0"
"002020","코오롱","31500","1150","3.79","397732.0"
"002240","고려제강","19700","50","0.25","453100.0"
"002270","롯데푸드","348000","9500","2.81","420751.0"
"002310","아세아제지","51200","400","0.79","458573.0"
"002170","삼양통상","59100","600","1.03","177300.0"
"002210","동성제약","8220","50","0.61","214550.0"
"003560","IHQ","1530","45","3.03","223741.0"
"003570","SNT중공업","8970","130","1.47","298277.0"
"003610","방림","2585","35","1.37","109382.0"
"003650","미창석유","79300","600","0.76","137956.0"
"003830","대한화섬","125500","-500","-0.40","166664.0"
"003920","남양유업","419500","6500","1.57","302040.0"
"003960","사조대림","25900","850","3.39","237360.0"
"004060","SG세계물산","722","62","9.39","146151.0"
"004080","신흥","15900","100","0.63","151050.0"
"004090","한국석유","11000","250","2.33","139635.0"
"004140","동방","3795","5","0.13","151693.0"
"004150","한솔홀딩스","3510","100","2.93","147450.0"
"004250","NPC","6770","110","1.65","248594.0"
"004270","남성","3050","40","1.33","110447.0"
"004310","현대약품","5170","140","2.78","165440.0"
"004360","세방","11700","200","1.74","225912.0"
"004380","삼익THK","11300","50","0.44","237300.0"
"004410","서울식품","307","-8","-2.54","114301.0"
"004440","삼일씨엔에스","9280","600","6.91","118152.0"
"004540","깨끗한나라","4175","30","0.72","155480.0"
"004560","현대비앤지스틸","15450","-50","-0.32","232968.0"
"004710","한솔테크닉스","6670","600","9.88","214173.0"
"004720","팜젠사이언스","11550","400","3.59","169934.0"
"004770","써니전자","3145","120","3.97","109588.0"
"004830","덕성","16150","700","4.53","253232.0"
"004910","조광페인트","8250","100","1.23","105600.0"
"004960","한신공영","16350","350","2.19","189181.0"
"004970","신라교역","13400","200","1.52","214400.0"
"334890","이지스밸류리츠","5770","-10","-0.17","138480.0"
"350520","이지스레지던스리츠","5340","40","0.75","110004.0"
"400760","NH올원리츠","5270","-10","-0.19","222394.0"
